	Percent	Judge	Judge2
10	16.8	A	FALSE
11	30.8	A	FALSE
12	33.6	A	FALSE
13	40.5	A	FALSE
14	48.9	A	FALSE
15	27	B	FALSE
16	28.9	B	FALSE
17	32	B	FALSE
18	32.7	B	FALSE
19	35.5	B	FALSE
20	45.6	B	FALSE
21	21	C	FALSE
22	23.4	C	FALSE
23	27.5	C	FALSE
24	27.5	C	FALSE
25	30.5	C	FALSE
26	31.9	C	FALSE
27	32.5	C	FALSE
28	33.8	C	FALSE
29	33.8	C	FALSE
30	24.3	D	FALSE
31	29.7	D	FALSE
32	17.7	E	FALSE
33	19.7	E	FALSE
34	21.5	E	FALSE
35	27.9	E	FALSE
36	34.8	E	FALSE
37	40.2	E	FALSE
38	16.5	F	FALSE
39	20.7	F	FALSE
40	23.5	F	FALSE
41	26.4	F	FALSE
42	26.7	F	FALSE
43	29.5	F	FALSE
44	29.8	F	FALSE
45	31.9	F	FALSE
46	36.2	F	FALSE
